Event Time;Time Span
2.0;2.0
8.0;3.0
12.0;2.0
16.0;1.0
22.0;2.0
27.0;2.0
32.0;2.0
37.0;2.0
41.0;1.0
48.0;3.0
53.0;3.0
56.0;1.0
62.0;2.0
66.0;1.0
73.0;3.0
77.0;2.0
82.0;2.0
87.0;2.0
92.0;2.0
97.0;2.0
102.0;2.0
107.0;2.0
112.0;2.0
117.0;2.0
122.0;2.0
127.0;2.0
133.0;3.0
136.0;1.0
141.0;1.0
147.0;2.0
152.0;2.0
157.0;2.0
162.0;2.0
167.0;2.0
173.0;3.0
177.0;2.0
181.0;1.0
187.0;2.0
191.0;1.0
197.0;2.0
202.0;2.0
207.0;2.0
211.0;1.0
218.0;3.0
222.0;2.0
227.0;2.0
232.0;2.0
238.0;3.0
242.0;2.0
247.0;2.0
252.0;2.0
257.0;2.0
261.0;1.0
267.0;2.0
272.0;2.0
277.0;2.0
282.0;2.0
287.0;2.0
292.0;2.0
297.0;2.0
302.0;2.0
307.0;2.0
312.0;2.0
317.0;2.0
322.0;2.0
327.0;2.0
332.0;2.0
338.0;3.0
342.0;2.0
347.0;2.0
353.0;3.0
358.0;3.0
362.0;2.0
368.0;3.0
373.0;3.0
377.0;2.0
383.0;3.0
387.0;2.0
392.0;2.0
397.0;2.0
403.0;3.0
408.0;3.0
412.0;2.0
417.0;2.0
421.0;1.0
427.0;2.0
432.0;2.0
437.0;2.0
443.0;3.0
448.0;3.0
453.0;3.0
457.0;2.0
462.0;2.0
467.0;2.0
472.0;2.0
477.0;2.0
482.0;2.0
488.0;3.0
492.0;2.0
497.0;2.0
502.0;2.0
508.0;3.0
512.0;2.0
518.0;3.0
523.0;3.0
527.0;2.0
532.0;2.0
537.0;2.0
542.0;2.0
547.0;2.0
552.0;2.0
558.0;3.0
562.0;2.0
567.0;2.0
573.0;3.0
577.0;2.0
582.0;2.0
588.0;3.0
591.0;1.0
597.0;2.0
603.0;3.0
608.0;3.0
612.0;2.0
616.0;1.0
622.0;2.0
626.0;1.0
631.0;1.0
637.0;2.0
642.0;2.0
647.0;2.0
652.0;2.0
656.0;1.0
662.0;2.0
667.0;2.0
673.0;3.0
677.0;2.0
683.0;3.0
687.0;2.0
692.0;2.0
698.0;3.0
702.0;2.0
707.0;2.0
712.0;2.0
